,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,2,大安區,2023-05-27 23:13:14,復興南路二段235號前,22,1
1,YouBike2.0_復興南路二段273號前,21,2,大安區,2023-05-27 23:10:19,復興南路二段273號西側,19,1
2,YouBike2.0_國北教大實小東側門,16,11,大安區,2023-05-27 23:13:14,和平東路二段96巷7號,4,1
3,YouBike2.0_和平公園東側,11,2,大安區,2023-05-27 23:11:14,和平東路二段118巷33號,9,1
4,YouBike2.0_辛亥復興路口西北側,16,3,大安區,2023-05-27 23:06:15,復興南路二段368號,13,1
5,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-27 22:54:16,復興南路二段280號,10,1
6,YouBike2.0_復興南路二段340巷口,11,3,大安區,2023-05-27 22:12:14,復興南路二段342號,7,1
7,YouBike2.0_新生南路三段52號前,17,0,大安區,2023-05-27 21:51:04,新生南路三段52號,16,1
8,YouBike2.0_新生南路三段66號前,16,0,大安區,2023-05-27 22:52:04,新生南路三段66號東側,16,1
9,YouBike2.0_新生南路三段82號前,20,0,大安區,2023-05-27 23:01:04,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,4,大安區,2023-05-27 22:48:14,辛亥路一段30號,4,1
11,YouBike2.0_和平復興路口西北側,9,1,大安區,2023-05-27 23:06:04,復興南路二段236號,7,1
12,YouBike2.0_羅斯福路三段311號前,11,0,大安區,2023-05-27 23:13:14,羅斯福路三段311號,11,1
13,YouBike2.0_大安運動中心停車場,14,2,大安區,2023-05-27 23:05:14,敦南街76巷28號,12,1
14,YouBike2.0_羅斯福路三段245號前,8,0,大安區,2023-05-27 23:13:04,羅斯福路三段245號,8,1
15,YouBike2.0_溫州公園,5,0,大安區,2023-05-27 22:05:04,羅斯福路三段283巷11號,5,1
16,YouBike2.0_和平臥龍街口,15,9,大安區,2023-05-27 23:12:14,臥龍街1號,6,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 22:57:14,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,0,大安區,2023-05-27 23:03:04,羅斯福路四段21號旁天橋下,6,1
19,YouBike2.0_捷運公館站(2號出口),99,1,大安區,2023-05-27 23:07:04,捷運公館站(2號出口)外側,98,1
20,YouBike2.0_第二學生活動中心,27,7,大安區,2023-05-27 23:11:14,羅斯福路四段107號(西南側),20,1
21,YouBike2.0_臺灣科技大學正門,30,2,大安區,2023-05-27 23:12:14,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),27,1
22,YouBike2.0_臺灣科技大學側門,99,24,大安區,2023-05-27 23:08:14,基隆路四段73巷與基隆路口,74,1
23,YouBike2.0_公館公園,15,14,大安區,2023-05-27 22:47:14,羅斯福路四段113巷基隆路四段41巷口,1,1
24,YouBike2.0_臺灣科技大學後門,39,16,大安區,2023-05-27 23:12:14,基隆路四段41巷68弄臺科帆船大樓旁,22,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,8,大安區,2023-05-27 22:55:23,基隆路三段155巷57號西側,12,1
26,YouBike2.0_臺大環研大樓,15,1,大安區,2023-05-27 22:55:23,芳蘭路/基隆路三段155巷口,14,1
27,YouBike2.0_臺大永齡生醫工程館,34,4,大安區,2023-05-27 22:48:14,芳蘭路51號西北側,30,1
28,YouBike2.0_臺大男七舍前,20,4,大安區,2023-05-27 23:01:17,長興街/長興街80巷口西側,16,1
29,YouBike2.0_臺大男一舍前,61,44,大安區,2023-05-27 23:13:14,長興街50號西北側,17,1
30,YouBike2.0_臺大男六舍前,46,7,大安區,2023-05-27 23:13:14,大安區長興街31號,39,1
31,YouBike2.0_臺大動物醫院前,18,7,大安區,2023-05-27 23:13:14,基隆路三段155巷/基隆路四段口,11,1
32,YouBike2.0_臺大土木研究大樓前,24,1,大安區,2023-05-27 22:52:14,辛亥路三段188號,22,1
33,YouBike2.0_臺大萬才館前,20,0,大安區,2023-05-27 18:32:04,臺大萬才館北側,20,1
34,YouBike2.0_臺大國青大樓宿舍前,20,8,大安區,2023-05-27 23:12:14,辛亥路三段30號西北側,12,1
35,YouBike2.0_臺大社科院圖書館前,27,0,大安區,2023-05-27 22:40:10,辛亥路與復興南路口西南側,27,1
36,YouBike2.0_臺大法人語言訓練中心前,28,4,大安區,2023-05-27 23:01:17,臺大法人語言訓練中心北側,24,1
37,YouBike2.0_臺大綜合體育館停車場前,25,6,大安區,2023-05-27 22:12:14,臺大綜合體育館北側,19,1
38,YouBike2.0_辛亥新生路口東南側,41,0,大安區,2023-05-27 23:08:04,辛亥新生路口東南側,40,1
39,YouBike2.0_基隆長興路口東側,15,10,大安區,2023-05-27 23:04:14,基隆長興路口東側,5,1
40,YouBike2.0_國北教大側門南側,25,24,大安區,2023-05-27 22:58:04,敦南街51號,0,1
41,YouBike2.0_和平實小東北側,13,6,大安區,2023-05-27 22:51:15,敦南街73號,7,1
42,YouBike2.0_大安區健康服務中心,15,2,大安區,2023-05-27 21:32:04,辛亥路三段15號,13,1
43,YouBike2.0_辛亥泰順街口,20,17,大安區,2023-05-27 23:05:14,辛亥泰順街口東南側,1,1
44,YouBike2.0_芳和國中,28,10,大安區,2023-05-27 23:13:14,臥龍街170號(前),18,1
45,YouBike2.0_臥龍樂業街口,36,26,大安區,2023-05-27 23:13:14,臥龍街234-2號,9,1
46,YouBike2.0_臥龍公園,14,11,大安區,2023-05-27 23:10:19,辛亥路三段223號西側,3,1
47,YouBike2.0_嘉興公園,44,36,大安區,2023-05-27 23:10:19,樂業街101巷3號西北側,8,1
48,YouBike2.0_捷運麟光站(2號出口),35,7,大安區,2023-05-27 23:02:14,和平東路三段420號東北側,28,1
49,YouBike2.0_捷運六張犁站,64,5,大安區,2023-05-27 23:13:14,和平東路三段410號,59,1
50,YouBike2.0_喬治工商,26,6,大安區,2023-05-27 23:06:15,基隆路二段166號,19,1
51,YouBike2.0_法治公園,15,12,大安區,2023-05-27 23:08:04,通化街189號西側,0,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,1,大安區,2023-05-27 23:07:04,辛亥路一段/羅斯福路三段口北側(辛亥路側),14,1
53,YouBike2.0_和平金山路口,45,0,大安區,2023-05-27 22:44:04,和平東路一段/金山南路二段西南側,45,1
54,YouBike2.0_和平龍泉街口,34,7,大安區,2023-05-27 23:13:14,和平東路一段/龍泉街口西南側,14,1
55,YouBike2.0_和平泰順街口,9,8,大安區,2023-05-27 22:55:23,和平東路一段/泰順街口東南側,1,1
56,YouBike2.0_臺灣師範大學(圖書館),40,11,大安區,2023-05-27 23:11:14,和平東路一段129號前,25,1
57,YouBike2.0_捷運古亭站(6號出口),60,35,大安區,2023-05-27 23:11:14,羅斯福路二段41號前,25,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-05-27 22:42:04,和平東路一段19號前,14,1
59,YouBike2.0_臺北市立圖書館(總館),45,28,大安區,2023-05-27 23:13:14,建國南路二段/建國南路二段151巷(橋下空間),16,1
60,YouBike2.0_新生和平路口東北側,38,7,大安區,2023-05-27 23:10:19,新生南路二段與和平東路二段口東北側,30,1
61,YouBike2.0_建國和平路口西北側,44,17,大安區,2023-05-27 23:01:17,建國南路二段與和平東路二段口西北側,27,1
62,YouBike2.0_金華公園,35,15,大安區,2023-05-27 23:10:19,金華街249號對面,18,1
63,YouBike2.0_捷運東門站(3號出口),15,2,大安區,2023-05-27 23:11:14,信義路二段128號前,13,1
64,YouBike2.0_金甌女中,12,7,大安區,2023-05-27 22:45:15,信義路二段與杭州南路二段東南側,4,1
65,YouBike2.0_金杭公園,20,18,大安區,2023-05-27 23:08:14,愛國東路21巷與杭州南路二段25巷口東南側,2,1
66,YouBike2.0_愛國金山路口,33,5,大安區,2023-05-27 22:37:14,愛國東路與杭州南路二段口西南側,25,1
67,YouBike2.0_敦化南路二段293巷口南側,14,5,大安區,2023-05-27 22:56:15,敦化南路二段293巷口南側,9,1
68,YouBike2.0_敦化基隆路口,29,20,大安區,2023-05-27 23:12:14,敦化南路二段218號,7,1
69,YouBike2.0_安和路二段181巷口,17,2,大安區,2023-05-27 23:06:15,安和路二段185號,15,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,14,大安區,2023-05-27 23:10:19,通化街111號,4,1
71,YouBike2.0_臨江街夜市(基隆路),17,11,大安區,2023-05-27 23:12:14,基隆路二段108號,5,1
72,YouBike2.0_台北科技大學億光大樓,46,0,大安區,2023-05-27 23:03:04,忠孝東路三段81號,45,1
73,YouBike2.0_新生南路一段119巷口,33,5,大安區,2023-05-27 23:10:19,新生南路一段113號,26,1
74,YouBike2.0_幸安國小(仁愛路),16,13,大安區,2023-05-27 23:10:19,仁愛路三段22號,2,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
76,YouBike2.0_復興南路1段340巷口,38,4,大安區,2023-05-27 23:10:19,復興南路一段信義路三段147巷45弄口,33,1
77,YouBike2.0_建國濟南路口,29,8,大安區,2023-05-27 23:10:19,建國南路一段/濟南路三段口(東南側),21,1
78,YouBike2.0_捷運忠孝復興站(2號出口),43,1,大安區,2023-05-27 23:03:14,復興南路一段/仁愛路三段123巷13弄(西北側),40,1
79,YouBike2.0_捷運大安站(4號出口),13,3,大安區,2023-05-27 23:12:14,信義路4段6號(前),8,1
80,YouBike2.0_捷運大安站(2號出口),22,0,大安區,2023-05-27 22:19:04,信義路3段143號(前),22,1
81,YouBike2.0_信義大安路口(信維大樓),12,1,大安區,2023-05-27 23:10:19,信義路四段74號(前),10,1
82,YouBike2.0_龍門廣場,50,0,大安區,2023-05-27 23:12:14,敦化南路一段與敦化南路一段236巷口,49,1
83,YouBike2.0_仁愛安和路口,25,1,大安區,2023-05-27 23:13:14,仁愛路四段258號前,24,1
84,YouBike2.0_信義敦化路口,46,25,大安區,2023-05-27 23:10:19,信義路四段155號前,21,1
85,YouBike2.0_仁愛國中,25,2,大安區,2023-05-27 23:01:31,安和路一段75號(對面),21,1
86,YouBike2.0_捷運信義安和站(2號出口),26,5,大安區,2023-05-27 23:03:14,信義路四段188號前,20,1
87,YouBike2.0_八德市場,30,3,大安區,2023-05-27 23:06:15,市民大道三段170號,26,1
88,YouBike2.0_昌隆公園,16,10,大安區,2023-05-27 23:13:14,市民大道三段206號西側,5,1
89,YouBike2.0_捷運大安森林公園站(2號出口),62,2,大安區,2023-05-27 23:01:17,捷運大安森林公園站(2號出口)西側,60,1
90,YouBike2.0_信義延吉街口,15,2,大安區,2023-05-27 23:01:17,信義路四段353號,13,1
91,YouBike2.0_光信公園(光復南路456巷),15,4,大安區,2023-05-27 22:54:16,延吉街249號,10,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,0,大安區,2023-05-27 23:09:04,光復南路290巷5號,18,1
93,YouBike2.0_建國南路一段279巷口,32,25,大安區,2023-05-27 23:10:19,建國南路一段275號,7,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,5,大安區,2023-05-27 23:07:14,新生南路一段101號,10,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,1,大安區,2023-05-27 23:07:14,忠孝新生路口北側,32,1
96,YouBike2.0_大安高工,23,4,大安區,2023-05-27 23:12:14,復興南路二段52號(前),18,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,9,大安區,2023-05-27 23:12:14,忠孝東路三段與10巷口,14,1
98,YouBike2.0_瑠公公園,20,1,大安區,2023-05-27 23:10:19,忠孝東路四段49巷4弄/大安路口,18,1
99,YouBike2.0_敦化市民路口,23,1,大安區,2023-05-27 23:13:04,敦化南路1段158號(前),19,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,1,大安區,2023-05-27 23:03:04,捷運大安森林公園站(5號出口)東側,14,1
101,YouBike2.0_信義建國路口,38,10,大安區,2023-05-27 23:06:15,建國南路二段與信義路三段口西南側,26,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 23:05:14,東豐街24號(旁公園路側),17,1
103,YouBike2.0_德安公園(四維路66巷),14,13,大安區,2023-05-27 22:56:04,四維路66巷6號北側,1,1
104,YouBike2.0_捷運忠孝復興站(5號出口),41,0,大安區,2023-05-27 23:04:04,復興南路一段135巷3號(對面),40,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,0,大安區,2023-05-27 23:11:03,忠孝東路四段221號,17,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,1,大安區,2023-05-27 23:13:14,忠孝東路四段143號,16,1
107,YouBike2.0_瑞安街208巷,15,15,大安區,2023-05-27 23:12:14,瑞安街208巷39號對面,0,1
108,YouBike2.0_樂利路21巷口,17,10,大安區,2023-05-27 23:04:14,樂利路25號,6,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,3,大安區,2023-05-27 23:08:14,和平東路二段134號前,43,1
110,YouBike2.0_捷運國父紀念館站(2號出口),38,2,大安區,2023-05-27 23:12:14,忠孝東路四段/光復南路口(西南側),35,1
111,YouBike2.0_仁愛醫院,30,4,大安區,2023-05-27 23:13:14,仁愛路四段/大安路一段口(西南側),26,1
112,YouBike2.0_捷運信義安和站(4號出口),30,8,大安區,2023-05-27 23:11:14,信義路四段252號前,20,1
113,YouBike2.0_成功國宅,30,14,大安區,2023-05-27 23:09:13,和平東路三段1巷/四維路198巷口(西北側),16,1
114,YouBike2.0_仁愛延吉街口,25,9,大安區,2023-05-27 23:05:14,仁愛路四段376號前,16,1
